id,hasProblem,avgCycle,lanes,avgTimes
53131121,False,37,"['260316653#1_2', '-85591518#1_1', '-85591518#1_2', '260316653#1_3', ':53131121_w1_0', '8044215#7_1', ':53131121_w3_0', ':53131121_w2_0', '-6485995#1_1', '260316653#1_1', ':53131121_w0_0']","[11.0, 6.0, 6.0, 11.0, 17.0, 7.0, 11.0, 17.0, 7.0, 11.0, 7.0]"
53142127,False,39,"['gneE243_1', ':53142127_w2_0', 'gneE272.65_2', '158943668#1_2', ':53142127_w0_0', 'gneE243_2', ':53142127_w3_0', '158943668#1_1', 'gneE272.65_3', ':53142127_w1_0', 'gneE272.65_1']","[6.0, 12.0, 15.0, 6.0, 24.0, 6.0, 15.0, 6.0, 15.0, 15.0, 15.0]"
53142130,False,37,"[':53142130_w3_0', ':53142130_w1_0', ':53142130_w0_0', '428243315#1_1', 'gneE269.20_3', '428243315#1_3', ':53142130_w2_0', 'gneE269.20_2', 'gneE269.20_4', '428243315#1_2', '428243315#1_4', 'gneE269.20_1']","[6.0, 15.0, 7.0, 15.0, 7.0, 15.0, 7.0, 7.0, 7.0, 15.0, 15.0, 7.0]"
53142136,False,87,"['333212250#1_1', 'gneE215_3', 'gneE215_2', 'gneE215_1', ':53142136_w3_0', 'gneE215_4', ':53142136_w2_0', ':53142136_w0_0', ':53142136_w1_0', '333212250#1_2', '333212250#1_3']","[25.0, 54.0, 54.0, 54.0, 54.0, 54.0, 25.0, 25.0, 54.0, 25.0, 25.0]"
53142418,False,72,"['-428341307#1_1', '546095808#1_1', '-428341307#1_2', ':53142418_w2_0', ':53142418_w0_0', '393047826_3', ':53142418_w1_0', '393047826_2', '-572049556#1_1', '393047826_1', ':53142418_w3_0']","[41.0, 24.0, 41.0, 20.0, 20.0, 41.0, 36.0, 41.0, 24.0, 41.0, 36.0]"
53142423,False,87,"[':53142423_w1_0', '428341107_3', ':53142423_w2_0', '422748213#3_2', ':53142423_w3_0', ':53142423_w0_0', '428341107_2', '428341107_1', '-393047815#1_2', '-393047815#1_1', '-604185672#1_1', '-604185672#1_2', '422748213#3_1', '-393047815#1_3']","[31.0, 45.0, 32.0, 36.0, 31.0, 32.0, 37.0, 37.0, 37.0, 37.0, 36.0, 36.0, 36.0, 45.0]"
53142432,False,87,"['-6394468#0_1', ':53142432_w2_0', '263689011#2_1', ':53142432_w1_0', ':53142432_w3_0', '-6406233#0_1', ':53142432_w0_0', '263689011#2_2']","[40.0, 36.0, 40.0, 36.0, 36.0, 40.0, 36.0, 40.0]"
53142964,True,3600,"['-105493444#1_1', '354215257#2_1', '354215257#2_2', '354215257#2_3', '-105493444#1_2']","[49.0, 49.0, 49.0, 49.0, 49.0]"
53142966,False,40,"['6450457#2_1', '6395017#2_1', ':53142966_w2_0', '6450457#2_3', ':53142966_w3_0', ':53142966_w1_0', ':53142966_w0_0', '6450457#2_2']","[15.0, 7.0, 7.0, 5.0, 15.0, 6.0, 7.0, 15.0]"
53142967,False,87,"[':53142967_w0_0', '532243339#0_2', '-460425665#2_1', '-460425665#2_2', '460425664#3_1', ':53142967_w2_0', ':53142967_w3_0', '532243339#0_1', '460425664#3_2', '460425664#3_3', ':53142967_w1_0']","[24.0, 55.0, 55.0, 55.0, 24.0, 24.0, 55.0, 55.0, 24.0, 24.0, 55.0]"
53142968,False,43,"['580425578#1_2', '580425578#1_4', '580425578#1_3', ':53142968_w3_0', '580425578#1_1', ':53142968_w0_0', ':53142968_w2_0', '465799092#2_2', '465799092#2_1', ':53142968_w1_0']","[15.0, 15.0, 15.0, 15.0, 15.0, 6.0, 6.0, 6.0, 6.0, 7.0]"
53142969,False,112,"['620595195#0.78_1', '428248111#0_1', ':53142969_w3_0', ':53142969_w0_0', '620595195#0.78_2', ':53142969_w1_0', '428248111#0_4', '428248111#0_3', '620595195#0.78_3', ':53142969_w2_0', '428248111#0_2']","[45.0, 61.0, 45.0, 61.0, 45.0, 45.0, 61.0, 61.0, 45.0, 61.0, 61.0]"
53142970,False,48,"['332946371#5.88_1', ':53142970_w0_0', '428248112#2_2', '428248112#2_1', '332946371#5.88_3', '428248112#2_3', ':53142970_w1_0', ':53142970_w3_0', '332946371#5.88_2', '332946371#5.88_4', ':53142970_w2_0']","[7.0, 12.0, 15.0, 15.0, 7.0, 4.0, 12.0, 12.0, 7.0, 7.0, 20.0]"
